TXNAME	GENEID
"G2011;G2011.1(-)"	G2011
"G2012;G2012.1(-)"	G2012
"G2013;G2013.1(-)"	G2013
"G2013;G2013.2(-)"	G2013
"G2013;G2013.3(-)"	G2013
"G2014;G2014.1(-)"	G2014
"G2015;G2015.1(+)"	G2015
"G2016;G2016.1(-)"	G2016
"G2017;G2017.1(+)"	G2017
"G2018;G2018.1(+)"	G2018
"G2019;G2019.1(-)"	G2019
"G2019;G2019.2(-)"	G2019
"G2020;G2020.1(-)"	G2020
"G2021;G2021.1(-)"	G2021
"G2021;G2021.2(-)"	G2021
"G2022;G2022.1(-)"	G2022
"G2023;G2023.1(-)"	G2023
"G2023;G2023.2(-)"	G2023
"G2023;G2023.3(-)"	G2023
"G2023;G2023.4(-)"	G2023
"G2024;G2024.1(-)"	G2024
"G2025;G2025.1(-)"	G2025
"G2026;G2026.1(+)"	G2026
"G2027;G2027.1(+)"	G2027
"G2028;G2028.1(-)"	G2028
"G2029;G2029.1(-)"	G2029
"G2029;G2029.2(-)"	G2029
"G2030;G2030.1(-)"	G2030
"G2031;G2031.1(+)"	G2031
"G2032;G2032.1(-)"	G2032
"G2033;G2033.1(+)"	G2033
"G2033;G2033.2(+)"	G2033
"G2034;G2034.1(+)"	G2034
"G2035;G2035.1(+)"	G2035
"G2036;G2036.1(+)"	G2036
"G2037;G2037.1(-)"	G2037
"G2037;G2037.2(-)"	G2037
"G2038;G2038.1(+)"	G2038
"G2039;G2039.1(-)"	G2039
"G2040;G2040.1(+)"	G2040
"G2041;G2041.1(+)"	G2041
"G2042;G2042.1(+)"	G2042
"G2043;G2043.1(+)"	G2043
"G2044;G2044.1(+)"	G2044
"G2045;G2045.1(+)"	G2045
"G2046;G2046.1(-)"	G2046
"G2047;G2047.1(+)"	G2047
"G2048;G2048.1(+)"	G2048
"G2048;G2048.2(+)"	G2048
"G2049;G2049.1(+)"	G2049
"G2050;G2050.1(+)"	G2050
"G2051;G2051.1(-)"	G2051
"G2051;G2051.2(-)"	G2051
"G2052;G2052.1(-)"	G2052
"G2053;G2053.1(-)"	G2053
"G2054;G2054.1(-)"	G2054
"G2054;G2054.2(-)"	G2054
"G2055;G2055.1(+)"	G2055
"G2056;G2056.1(-)"	G2056
"G2057;G2057.1(-)"	G2057
"G2058;G2058.1(-)"	G2058
"G2058;G2058.2(-)"	G2058
"G2059;G2059.1(-)"	G2059
"G2059;G2059.2(-)"	G2059
"G2060;G2060.1(+)"	G2060
"G2061;G2061.1(-)"	G2061
"G2062;G2062.1(+)"	G2062
"G2063;G2063.1(+)"	G2063
"G2063;G2063.2(+)"	G2063
"G2064;G2064.1(+)"	G2064
"G2064;G2064.2(+)"	G2064
"G2065;G2065.1(-)"	G2065
"G2066;G2066.1(+)"	G2066
"G2067;G2067.1(+)"	G2067
"G2067;G2067.2(+)"	G2067
"G2068;G2068.1(-)"	G2068
"G2069;G2069.1(+)"	G2069
"G2070;G2070.1(-)"	G2070
"G2070;G2070.2(-)"	G2070
"G2071;G2071.1(-)"	G2071
"G2072;G2072.1(-)"	G2072
"G2073;G2073.1(+)"	G2073
"G2074;G2074.1(-)"	G2074
"G2075;G2075.1(-)"	G2075
"G2076;G2076.1(-)"	G2076
"G2077;G2077.1(+)"	G2077
"G2078;G2078.1(+)"	G2078
"G2079;G2079.1(-)"	G2079
"G2080;G2080.1(-)"	G2080
"G2081;G2081.1(-)"	G2081
"G2082;G2082.1(-)"	G2082
"G2083;G2083.1(+)"	G2083
"G2084;G2084.1(-)"	G2084
"G2085;G2085.1(+)"	G2085
"G2086;G2086.1(+)"	G2086
"G2086;G2086.2(+)"	G2086
"G2087;G2087.1(+)"	G2087
"G2088;G2088.1(+)"	G2088
"G2088;G2088.2(+)"	G2088
"G2089;G2089.1(+)"	G2089
"G2090;G2090.1(-)"	G2090
"G2090;G2090.2(-)"	G2090
"G2091;G2091.1(+)"	G2091
"G2091;G2091.2(+)"	G2091
"G2092;G2092.1(-)"	G2092
"G2092;G2092.2(-)"	G2092
"G2093;G2093.1(+)"	G2093
"G2094;G2094.1(+)"	G2094
"G2095;G2095.1(+)"	G2095
"G2096;G2096.1(+)"	G2096
"G2097;G2097.1(+)"	G2097
"G2098;G2098.1(-)"	G2098
"G2099;G2099.1(+)"	G2099
"G2100;G2100.1(+)"	G2100
"G2101;G2101.1(+)"	G2101
"G2102;G2102.1(-)"	G2102
"G2102;G2102.2(-)"	G2102
"G2103;G2103.1(-)"	G2103
"G2104;G2104.1(+)"	G2104
"G2105;G2105.1(+)"	G2105
"G2105;G2105.2(+)"	G2105
"G2106;G2106.1(-)"	G2106
"G2107;G2107.1(-)"	G2107
"G2107;G2107.2(-)"	G2107
"G2108;G2108.1(+)"	G2108
"G2109;G2109.1(+)"	G2109
"G2109;G2109.2(+)"	G2109
"G2109;G2109.3(+)"	G2109
"G2110;G2110.1(-)"	G2110
"G2111;G2111.1(+)"	G2111
"G2112;G2112.1(+)"	G2112
"G2113;G2113.1(+)"	G2113
"G2114;G2114.1(+)"	G2114
"G2114;G2114.2(+)"	G2114
"G2115;G2115.1(+)"	G2115
"G2116;G2116.1(+)"	G2116
"G2117;G2117.1(+)"	G2117
"G2118;G2118.1(+)"	G2118
"G2119;G2119.1(+)"	G2119
"G2120;G2120.1(-)"	G2120
"G2120;G2120.2(-)"	G2120
"G2121;G2121.1(+)"	G2121
"G2122;G2122.1(+)"	G2122
"G2122;G2122.2(+)"	G2122
"G2123;G2123.1(+)"	G2123
"G2124;G2124.1(+)"	G2124
"G2124;G2124.2(+)"	G2124
"G2125;G2125.1(-)"	G2125
"G2126;G2126.1(-)"	G2126
"G2126;G2126.2(-)"	G2126
"G2126;G2126.3(-)"	G2126
"G2126;G2126.4(-)"	G2126
"G2126;G2126.5(-)"	G2126
"G2126;G2126.6(-)"	G2126
"G2127;G2127.1(+)"	G2127
"G2127;G2127.2(+)"	G2127
"G2128;G2128.1(-)"	G2128
"G2129;G2129.1(+)"	G2129
"G2129;G2129.2(+)"	G2129
"G2130;G2130.1(+)"	G2130
"G2131;G2131.1(+)"	G2131
"G2132;G2132.1(-)"	G2132
"G2133;G2133.1(-)"	G2133
"G2134;G2134.1(+)"	G2134
"G2135;G2135.1(+)"	G2135
"G2136;G2136.1(+)"	G2136
"G2137;G2137.1(-)"	G2137
"G2138;G2138.1(+)"	G2138
"G2139;G2139.1(-)"	G2139
"G2140;G2140.1(-)"	G2140
"G2140;G2140.2(-)"	G2140
"G2141;G2141.1(-)"	G2141
"G2142;G2142.1(+)"	G2142
"G2142;G2142.2(+)"	G2142
"G2143;G2143.1(+)"	G2143
"G2144;G2144.1(-)"	G2144
"G2145;G2145.1(-)"	G2145
"G2146;G2146.1(-)"	G2146
"G2147;G2147.1(+)"	G2147
"G2148;G2148.1(-)"	G2148
"G2149;G2149.1(+)"	G2149
"G2149;G2149.2(+)"	G2149
"G2149;G2149.3(+)"	G2149
"G2150;G2150.1(+)"	G2150
"G2151;G2151.1(+)"	G2151
"G2152;G2152.1(+)"	G2152
"G2153;G2153.1(-)"	G2153
"G2153;G2153.2(-)"	G2153
"G2153;G2153.3(-)"	G2153
"G2153;G2153.4(-)"	G2153
"G2154;G2154.1(-)"	G2154
"G2155;G2155.1(-)"	G2155
"G2156;G2156.1(+)"	G2156
"G2156;G2156.2(+)"	G2156
"G2157;G2157.1(-)"	G2157
"G2158;G2158.1(+)"	G2158
"G2159;G2159.1(+)"	G2159
"G2160;G2160.1(-)"	G2160
"G2161;G2161.1(-)"	G2161
"G2162;G2162.1(-)"	G2162
"G2163;G2163.1(+)"	G2163
"G2164;G2164.1(+)"	G2164
"G2165;G2165.1(+)"	G2165
"G2166;G2166.1(-)"	G2166
"G2167;G2167.1(+)"	G2167
"G2168;G2168.1(+)"	G2168
"G2169;G2169.1(+)"	G2169
"G2170;G2170.1(+)"	G2170
"G2171;G2171.1(+)"	G2171
"G2172;G2172.1(+)"	G2172
"G2172;G2172.2(+)"	G2172
"G2173;G2173.1(-)"	G2173
"G2174;G2174.1(+)"	G2174
"G2174;G2174.2(+)"	G2174
"G2175;G2175.1(-)"	G2175
"G2176;G2176.1(-)"	G2176
"G2176;G2176.2(-)"	G2176
"G2176;G2176.3(-)"	G2176
"G2176;G2176.4(-)"	G2176
"G2176;G2176.5(-)"	G2176
"G2177;G2177.1(+)"	G2177
"G2178;G2178.1(+)"	G2178
"G2179;G2179.1(-)"	G2179
"G2180;G2180.1(+)"	G2180
"G2181;G2181.1(-)"	G2181
"G2181;G2181.2(-)"	G2181
"G2181;G2181.3(-)"	G2181
"G2182;G2182.1(+)"	G2182
"G2183;G2183.1(+)"	G2183
"G2184;G2184.1(-)"	G2184
"G2185;G2185.1(-)"	G2185
"G2186;G2186.1(-)"	G2186
"G2186;G2186.2(-)"	G2186
"G2187;G2187.1(-)"	G2187
"G2188;G2188.1(+)"	G2188
"G2189;G2189.1(-)"	G2189
"G2190;G2190.1(+)"	G2190
"G2190;G2190.2(+)"	G2190
"G2191;G2191.1(+)"	G2191
"G2192;G2192.1(+)"	G2192
"G2193;G2193.1(-)"	G2193
"G2194;G2194.1(+)"	G2194
"G2194;G2194.2(+)"	G2194
"G2194;G2194.3(+)"	G2194
"G2195;G2195.1(-)"	G2195
"G2195;G2195.2(-)"	G2195
"G2196;G2196.1(+)"	G2196
"G2196;G2196.2(+)"	G2196
"G2197;G2197.1(+)"	G2197
"G2198;G2198.1(+)"	G2198
"G2199;G2199.1(+)"	G2199
"G2200;G2200.1(-)"	G2200
"G2200;G2200.2(-)"	G2200
"G2201;G2201.1(+)"	G2201
"G2202;G2202.1(-)"	G2202
"G2203;G2203.1(-)"	G2203
"G2204;G2204.1(-)"	G2204
"G2205;G2205.1(-)"	G2205
"G2205;G2205.2(-)"	G2205
"G2206;G2206.1(-)"	G2206
"G2207;G2207.1(+)"	G2207
"G2208;G2208.1(-)"	G2208
"G2209;G2209.1(-)"	G2209
"G2209;G2209.2(-)"	G2209
"G2210;G2210.1(+)"	G2210
"G2211;G2211.1(+)"	G2211
"G2211;G2211.2(+)"	G2211
"G2211;G2211.3(+)"	G2211
"G2211;G2211.4(+)"	G2211
"G2212;G2212.1(+)"	G2212
"G2213;G2213.1(-)"	G2213
"G2214;G2214.1(+)"	G2214
"G2215;G2215.1(+)"	G2215
"G2216;G2216.1(+)"	G2216
"G2217;G2217.1(-)"	G2217
"G2218;G2218.1(-)"	G2218
"G2219;G2219.1(+)"	G2219
"G2219;G2219.2(+)"	G2219
"G2220;G2220.1(-)"	G2220
"G2221;G2221.1(+)"	G2221
"G2222;G2222.1(-)"	G2222
"G2222;G2222.2(-)"	G2222
"G2223;G2223.1(+)"	G2223
"G2224;G2224.1(+)"	G2224
"G2225;G2225.1(+)"	G2225
"G2226;G2226.1(-)"	G2226
"G2227;G2227.1(-)"	G2227
"G2228;G2228.1(+)"	G2228
"G2229;G2229.1(-)"	G2229
"G2229;G2229.2(-)"	G2229
"G2230;G2230.1(+)"	G2230
"G2231;G2231.1(+)"	G2231
"G2232;G2232.1(-)"	G2232
"G2233;G2233.1(-)"	G2233
"G2234;G2234.1(+)"	G2234
"G2234;G2234.2(+)"	G2234
"G2235;G2235.1(-)"	G2235
"G2235;G2235.2(-)"	G2235
"G2236;G2236.1(+)"	G2236
"G2237;G2237.1(+)"	G2237
"G2238;G2238.1(-)"	G2238
"G2239;G2239.1(-)"	G2239
"G2240;G2240.1(+)"	G2240
"G2241;G2241.1(+)"	G2241
"G2242;G2242.1(+)"	G2242
"G2243;G2243.1(+)"	G2243
"G2243;G2243.2(+)"	G2243
"G2244;G2244.1(+)"	G2244
"G2245;G2245.1(+)"	G2245
"G2246;G2246.1(+)"	G2246
"G2247;G2247.1(-)"	G2247
"G2248;G2248.1(-)"	G2248
"G2249;G2249.1(+)"	G2249
"G2250;G2250.1(+)"	G2250
"G2251;G2251.1(+)"	G2251
"G2252;G2252.1(-)"	G2252
"G2253;G2253.1(-)"	G2253
"G2254;G2254.1(-)"	G2254
"G2254;G2254.2(-)"	G2254
"G2255;G2255.1(-)"	G2255
"G2255;G2255.2(-)"	G2255
"G2256;G2256.1(+)"	G2256
"G2257;G2257.1(+)"	G2257
"G2257;G2257.2(+)"	G2257
"G2258;G2258.1(-)"	G2258
"G2259;G2259.1(-)"	G2259
"G2260;G2260.1(-)"	G2260
"G2261;G2261.1(-)"	G2261
"G2262;G2262.1(-)"	G2262
"G2263;G2263.1(-)"	G2263
"G2263;G2263.2(-)"	G2263
"G2264;G2264.1(+)"	G2264
"G2264;G2264.2(+)"	G2264
"G2265;G2265.1(-)"	G2265
"G2266;G2266.1(-)"	G2266
"G2267;G2267.1(-)"	G2267
"G2267;G2267.2(-)"	G2267
"G2268;G2268.1(-)"	G2268
"G2269;G2269.1(-)"	G2269
"G2270;G2270.1(-)"	G2270
"G2271;G2271.1(+)"	G2271
"G2272;G2272.1(-)"	G2272
"G2273;G2273.1(-)"	G2273
"G2274;G2274.1(+)"	G2274
"G2275;G2275.1(+)"	G2275
"G2276;G2276.1(-)"	G2276
"G2277;G2277.1(+)"	G2277
"G2277;G2277.2(+)"	G2277
"G2278;G2278.1(-)"	G2278
"G2279;G2279.1(-)"	G2279
"G2279;G2279.2(-)"	G2279
"G2279;G2279.3(-)"	G2279
"G2279;G2279.4(-)"	G2279
"G2280;G2280.1(-)"	G2280
"G2281;G2281.1(-)"	G2281
"G2282;G2282.1(-)"	G2282
"G2283;G2283.1(+)"	G2283
"G2284;G2284.1(-)"	G2284
"G2284;G2284.2(-)"	G2284
"G2285;G2285.1(+)"	G2285
"G2286;G2286.1(+)"	G2286
"G2286;G2286.2(+)"	G2286
"G2287;G2287.1(-)"	G2287
"G2287;G2287.2(-)"	G2287
"G2288;G2288.1(+)"	G2288
"G2288;G2288.2(+)"	G2288
"G2288;G2288.3(+)"	G2288
"G2288;G2288.4(+)"	G2288
"G2288;G2288.5(+)"	G2288
"G2289;G2289.1(-)"	G2289
"G2290;G2290.1(-)"	G2290
"G2290;G2290.2(-)"	G2290
"G2290;G2290.3(-)"	G2290
"G2290;G2290.4(-)"	G2290
"G2290;G2290.5(-)"	G2290
"G2290;G2290.6(-)"	G2290
"G2290;G2290.7(-)"	G2290
"G2290;G2290.8(-)"	G2290
"G2290;G2290.9(-)"	G2290
"G2290;G2290.10(-)"	G2290
"G2290;G2290.11(-)"	G2290
"G2291;G2291.1(+)"	G2291
"G2292;G2292.1(+)"	G2292
"G2293;G2293.1(-)"	G2293
"G2294;G2294.1(+)"	G2294
"G2295;G2295.1(+)"	G2295
"G2295;G2295.2(+)"	G2295
"G2296;G2296.1(-)"	G2296
"G2296;G2296.2(-)"	G2296
"G2297;G2297.1(+)"	G2297
"G2298;G2298.1(-)"	G2298
"G2298;G2298.2(-)"	G2298
"G2299;G2299.1(+)"	G2299
"G2300;G2300.1(+)"	G2300
"G2301;G2301.1(-)"	G2301
"G2302;G2302.1(-)"	G2302
"G2303;G2303.1(-)"	G2303
"G2304;G2304.1(-)"	G2304
"G2305;G2305.1(-)"	G2305
"G2306;G2306.1(+)"	G2306
"G2306;G2306.2(+)"	G2306
"G2307;G2307.1(+)"	G2307
"G2307;G2307.2(+)"	G2307
"G2307;G2307.3(+)"	G2307
"G2307;G2307.4(+)"	G2307
"G2307;G2307.5(+)"	G2307
"G2307;G2307.6(+)"	G2307
"G2308;G2308.1(-)"	G2308
"G2309;G2309.1(-)"	G2309
"G2310;G2310.1(-)"	G2310
"G2311;G2311.1(-)"	G2311
"G2312;G2312.1(-)"	G2312
"G2312;G2312.2(-)"	G2312
"G2312;G2312.3(-)"	G2312
"G2313;G2313.1(+)"	G2313
"G2314;G2314.1(+)"	G2314
"G2315;G2315.1(-)"	G2315
"G2316;G2316.1(-)"	G2316
"G2316;G2316.2(-)"	G2316
"G2317;G2317.1(-)"	G2317
"G2317;G2317.2(-)"	G2317
"G2318;G2318.1(+)"	G2318
"G2319;G2319.1(-)"	G2319
"G2320;G2320.1(-)"	G2320
"G2321;G2321.1(-)"	G2321
"G2322;G2322.1(-)"	G2322
"G2322;G2322.2(-)"	G2322
"G2322;G2322.3(-)"	G2322
"G2323;G2323.1(+)"	G2323
"G2324;G2324.1(-)"	G2324
"G2325;G2325.1(+)"	G2325
"G2326;G2326.1(+)"	G2326
"G2327;G2327.1(-)"	G2327
"G2328;G2328.1(+)"	G2328
"G2329;G2329.1(+)"	G2329
"G2330;G2330.1(-)"	G2330
"G2331;G2331.1(-)"	G2331
"G2332;G2332.1(-)"	G2332
"G2333;G2333.1(+)"	G2333
"G2334;G2334.1(+)"	G2334
"G2335;G2335.1(+)"	G2335
"G2336;G2336.1(-)"	G2336
"G2337;G2337.1(+)"	G2337
"G2337;G2337.2(+)"	G2337
"G2338;G2338.1(-)"	G2338
"G2338;G2338.2(-)"	G2338
"G2338;G2338.3(-)"	G2338
"G2338;G2338.4(-)"	G2338
"G2338;G2338.5(-)"	G2338
"G2338;G2338.6(-)"	G2338
"G2338;G2338.7(-)"	G2338
"G2338;G2338.8(-)"	G2338
"G2338;G2338.9(-)"	G2338
"G2338;G2338.10(-)"	G2338
"G2338;G2338.11(-)"	G2338
"G2338;G2338.12(-)"	G2338
"G2338;G2338.13(-)"	G2338
"G2338;G2338.14(-)"	G2338
"G2338;G2338.15(-)"	G2338
"G2338;G2338.16(-)"	G2338
"G2338;G2338.17(-)"	G2338
"G2338;G2338.18(-)"	G2338
"G2338;G2338.19(-)"	G2338
"G2338;G2338.20(-)"	G2338
"G2338;G2338.21(-)"	G2338
"G2338;G2338.22(-)"	G2338
"G2338;G2338.23(-)"	G2338
"G2338;G2338.24(-)"	G2338
"G2338;G2338.25(-)"	G2338
"G2338;G2338.26(-)"	G2338
"G2338;G2338.27(-)"	G2338
"G2338;G2338.28(-)"	G2338
"G2338;G2338.29(-)"	G2338
"G2339;G2339.1(-)"	G2339
"G2340;G2340.1(+)"	G2340
"G2341;G2341.1(+)"	G2341
"G2342;G2342.1(+)"	G2342
"G2343;G2343.1(-)"	G2343
"G2343;G2343.2(-)"	G2343
"G2344;G2344.1(+)"	G2344
"G2345;G2345.1(+)"	G2345
"G2345;G2345.2(+)"	G2345
"G2346;G2346.1(+)"	G2346
"G2346;G2346.2(+)"	G2346
"G2347;G2347.1(-)"	G2347
"G2348;G2348.1(+)"	G2348
"G2349;G2349.1(-)"	G2349
"G2350;G2350.1(+)"	G2350
"G2350;G2350.2(+)"	G2350
"G2350;G2350.3(+)"	G2350
"G2350;G2350.4(+)"	G2350
"G2351;G2351.1(-)"	G2351
"G2351;G2351.2(-)"	G2351
"G2352;G2352.1(-)"	G2352
"G2353;G2353.1(-)"	G2353
"G2354;G2354.1(+)"	G2354
"G2355;G2355.1(+)"	G2355
"G2356;G2356.1(+)"	G2356
"G2356;G2356.2(+)"	G2356
"G2356;G2356.3(+)"	G2356
"G2356;G2356.4(+)"	G2356
"G2356;G2356.5(+)"	G2356
"G2356;G2356.6(+)"	G2356
"G2357;G2357.1(+)"	G2357
"G2357;G2357.2(+)"	G2357
"G2358;G2358.1(+)"	G2358
"G2358;G2358.2(+)"	G2358
"G2358;G2358.3(+)"	G2358
"G2359;G2359.1(+)"	G2359
"G2359;G2359.2(+)"	G2359
"G2360;G2360.1(+)"	G2360
"G2361;G2361.1(+)"	G2361
"G2362;G2362.1(-)"	G2362
"G2363;G2363.1(-)"	G2363
"G2364;G2364.1(+)"	G2364
"G2365;G2365.1(+)"	G2365
"G2366;G2366.1(-)"	G2366
"G2367;G2367.1(-)"	G2367
"G2368;G2368.1(+)"	G2368
"G2368;G2368.2(+)"	G2368
"G2369;G2369.1(-)"	G2369
"G2370;G2370.1(-)"	G2370
"G2371;G2371.1(-)"	G2371
"G2371;G2371.2(-)"	G2371
"G2372;G2372.1(+)"	G2372
"G2373;G2373.1(+)"	G2373
"G2373;G2373.2(+)"	G2373
"G2374;G2374.1(-)"	G2374
"G2375;G2375.1(+)"	G2375
"G2376;G2376.1(-)"	G2376
"G2377;G2377.1(+)"	G2377
"G2378;G2378.1(+)"	G2378
"G2379;G2379.1(-)"	G2379
"G2380;G2380.1(+)"	G2380
"G2380;G2380.2(+)"	G2380
"G2381;G2381.1(+)"	G2381
"G2382;G2382.1(+)"	G2382
"G2383;G2383.1(-)"	G2383
"G2383;G2383.2(-)"	G2383
"G2384;G2384.1(+)"	G2384
"G2384;G2384.2(+)"	G2384
"G2385;G2385.1(+)"	G2385
"G2386;G2386.1(+)"	G2386
"G2387;G2387.1(-)"	G2387
"G2387;G2387.2(-)"	G2387
"G2388;G2388.1(+)"	G2388
"G2389;G2389.1(+)"	G2389
"G2390;G2390.1(+)"	G2390
"G2391;G2391.1(+)"	G2391
"G2392;G2392.1(-)"	G2392
"G2393;G2393.1(+)"	G2393
"G2393;G2393.2(+)"	G2393
"G2394;G2394.1(+)"	G2394
"G2395;G2395.1(+)"	G2395
"G2396;G2396.1(-)"	G2396
"G2397;G2397.1(+)"	G2397
"G2398;G2398.1(-)"	G2398
"G2399;G2399.1(+)"	G2399
"G2400;G2400.1(+)"	G2400
"G2400;G2400.2(+)"	G2400
"G2401;G2401.1(+)"	G2401
"G2402;G2402.1(+)"	G2402
"G2403;G2403.1(-)"	G2403
"G2404;G2404.1(-)"	G2404
"G2405;G2405.1(-)"	G2405
"G2406;G2406.1(-)"	G2406
"G2407;G2407.1(+)"	G2407
"G2408;G2408.1(+)"	G2408
"G2409;G2409.1(+)"	G2409
"G2410;G2410.1(-)"	G2410
"G2410;G2410.2(-)"	G2410
"G2410;G2410.3(-)"	G2410
"G2411;G2411.1(+)"	G2411
"G2411;G2411.2(+)"	G2411
"G2411;G2411.3(+)"	G2411
"G2412;G2412.1(+)"	G2412
"G2413;G2413.1(-)"	G2413
"G2413;G2413.2(-)"	G2413
"G2413;G2413.3(-)"	G2413
"G2413;G2413.4(-)"	G2413
"G2413;G2413.5(-)"	G2413
"G2413;G2413.6(-)"	G2413
"G2414;G2414.1(+)"	G2414
"G2415;G2415.1(+)"	G2415
"G2416;G2416.1(-)"	G2416
"G2416;G2416.2(-)"	G2416
"G2416;G2416.3(-)"	G2416
"G2417;G2417.1(-)"	G2417
"G2418;G2418.1(-)"	G2418
"G2419;G2419.1(-)"	G2419
"G2420;G2420.1(-)"	G2420
"G2421;G2421.1(+)"	G2421
"G2422;G2422.1(-)"	G2422
"G2422;G2422.2(-)"	G2422
"G2423;G2423.1(+)"	G2423
"G2424;G2424.1(-)"	G2424
"G2425;G2425.1(-)"	G2425
"G2426;G2426.1(+)"	G2426
"G2427;G2427.1(+)"	G2427
"G2427;G2427.2(+)"	G2427
"G2427;G2427.3(+)"	G2427
"G2428;G2428.1(-)"	G2428
"G2429;G2429.1(-)"	G2429
"G2430;G2430.1(+)"	G2430
"G2430;G2430.2(+)"	G2430
"G2430;G2430.3(+)"	G2430
"G2430;G2430.4(+)"	G2430
"G2430;G2430.5(+)"	G2430
"G2430;G2430.6(+)"	G2430
"G2431;G2431.1(-)"	G2431
"G2432;G2432.1(+)"	G2432
"G2432;G2432.2(+)"	G2432
"G2433;G2433.1(+)"	G2433
"G2434;G2434.1(+)"	G2434
"G2435;G2435.1(+)"	G2435
"G2435;G2435.2(+)"	G2435
"G2436;G2436.1(-)"	G2436
"G2437;G2437.1(-)"	G2437
"G2438;G2438.1(+)"	G2438
"G2438;G2438.2(+)"	G2438
"G2439;G2439.1(-)"	G2439
"G2439;G2439.2(-)"	G2439
"G2440;G2440.1(-)"	G2440
"G2441;G2441.1(-)"	G2441
"G2442;G2442.1(+)"	G2442
"G2443;G2443.1(+)"	G2443
"G2443;G2443.2(+)"	G2443
"G2443;G2443.3(+)"	G2443
"G2444;G2444.1(-)"	G2444
"G2444;G2444.2(-)"	G2444
"G2444;G2444.3(-)"	G2444
"G2444;G2444.4(-)"	G2444
"G2444;G2444.5(-)"	G2444
"G2445;G2445.1(-)"	G2445
"G2446;G2446.1(+)"	G2446
"G2447;G2447.1(+)"	G2447
"G2448;G2448.1(+)"	G2448
"G2448;G2448.2(+)"	G2448
"G2449;G2449.1(+)"	G2449
"G2450;G2450.1(-)"	G2450
"G2451;G2451.1(-)"	G2451
"G2452;G2452.1(+)"	G2452
"G2452;G2452.2(+)"	G2452
"G2453;G2453.1(+)"	G2453
"G2453;G2453.2(+)"	G2453
"G2454;G2454.1(+)"	G2454
"G2454;G2454.2(+)"	G2454
"G2454;G2454.3(+)"	G2454
"G2454;G2454.4(+)"	G2454
"G2455;G2455.1(+)"	G2455
"G2455;G2455.2(+)"	G2455
"G2455;G2455.3(+)"	G2455
"G2456;G2456.1(+)"	G2456
"G2457;G2457.1(+)"	G2457
"G2457;G2457.2(+)"	G2457
"G2457;G2457.3(+)"	G2457
"G2457;G2457.4(+)"	G2457
"G2457;G2457.5(+)"	G2457
"G2458;G2458.1(+)"	G2458
"G2459;G2459.1(-)"	G2459
"G2460;G2460.1(-)"	G2460
"G2461;G2461.1(-)"	G2461
"G2462;G2462.1(-)"	G2462
"G2463;G2463.1(+)"	G2463
"G2464;G2464.1(-)"	G2464
"G2465;G2465.1(+)"	G2465
"G2466;G2466.1(-)"	G2466
"G2466;G2466.2(-)"	G2466
"G2467;G2467.1(+)"	G2467
"G2467;G2467.2(+)"	G2467
"G2468;G2468.1(-)"	G2468
"G2469;G2469.1(-)"	G2469
"G2470;G2470.1(-)"	G2470
"G2471;G2471.1(+)"	G2471
"G2472;G2472.1(+)"	G2472
"G2473;G2473.1(-)"	G2473
"G2474;G2474.1(-)"	G2474
"G2475;G2475.1(-)"	G2475
"G2476;G2476.1(-)"	G2476
"G2477;G2477.1(+)"	G2477
"G2477;G2477.2(+)"	G2477
"G2478;G2478.1(+)"	G2478
"G2479;G2479.1(-)"	G2479
"G2480;G2480.1(+)"	G2480
"G2481;G2481.1(-)"	G2481
"G2482;G2482.1(-)"	G2482
"G2483;G2483.1(+)"	G2483
"G2484;G2484.1(+)"	G2484
"G2485;G2485.1(-)"	G2485
"G2485;G2485.2(-)"	G2485
"G2486;G2486.1(+)"	G2486
"G2487;G2487.1(-)"	G2487
"G2488;G2488.1(+)"	G2488
"G2488;G2488.2(+)"	G2488
"G2489;G2489.1(+)"	G2489
"G2490;G2490.1(-)"	G2490
"G2490;G2490.2(-)"	G2490
"G2490;G2490.3(-)"	G2490
"G2490;G2490.4(-)"	G2490
"G2490;G2490.5(-)"	G2490
"G2490;G2490.6(-)"	G2490
"G2490;G2490.7(-)"	G2490
"G2490;G2490.8(-)"	G2490
"G2490;G2490.9(-)"	G2490
"G2490;G2490.10(-)"	G2490
"G2491;G2491.1(-)"	G2491
"G2492;G2492.1(+)"	G2492
"G2493;G2493.1(+)"	G2493
"G2494;G2494.1(+)"	G2494
"G2495;G2495.1(-)"	G2495
"G2496;G2496.1(-)"	G2496
"G2497;G2497.1(+)"	G2497
"G2498;G2498.1(+)"	G2498
"G2498;G2498.2(+)"	G2498
"G2498;G2498.3(+)"	G2498
"G2499;G2499.1(-)"	G2499
"G2500;G2500.1(-)"	G2500
"G2501;G2501.1(+)"	G2501
"G2502;G2502.1(-)"	G2502
"G2503;G2503.1(+)"	G2503
"G2504;G2504.1(-)"	G2504
"G2505;G2505.1(+)"	G2505
"G2505;G2505.2(+)"	G2505
"G2506;G2506.1(-)"	G2506
"G2507;G2507.1(+)"	G2507
"G2508;G2508.1(-)"	G2508
"G2509;G2509.1(-)"	G2509
"G2510;G2510.1(-)"	G2510
"G2511;G2511.1(+)"	G2511
"G2512;G2512.1(+)"	G2512
"G2513;G2513.1(-)"	G2513
"G2513;G2513.2(-)"	G2513
"G2514;G2514.1(-)"	G2514
"G2514;G2514.2(-)"	G2514
"G2514;G2514.3(-)"	G2514
"G2515;G2515.1(-)"	G2515
