TXNAME	GENEID
"G149;G149.1(+)"	G149
"G150;G150.1(+)"	G150
"G151;G151.1(-)"	G151
"G152;G152.1(-)"	G152
"G152;G152.2(-)"	G152
"G153;G153.1(+)"	G153
"G154;G154.1(-)"	G154
"G155;G155.1(-)"	G155
"G156;G156.1(+)"	G156
"G157;G157.1(+)"	G157
"G158;G158.1(+)"	G158
"G158;G158.2(+)"	G158
"G159;G159.1(-)"	G159
"G160;G160.1(-)"	G160
"G161;G161.1(-)"	G161
"G162;G162.1(-)"	G162
"G162;G162.2(-)"	G162
"G163;G163.1(-)"	G163
"G164;G164.1(+)"	G164
"G164;G164.2(+)"	G164
"G165;G165.1(-)"	G165
"G166;G166.1(-)"	G166
"G167;G167.1(-)"	G167
"G168;G168.1(-)"	G168
"G169;G169.1(-)"	G169
"G169;G169.2(-)"	G169
"G170;G170.1(-)"	G170
"G171;G171.1(+)"	G171
"G172;G172.1(-)"	G172
"G172;G172.2(-)"	G172
"G173;G173.1(+)"	G173
"G174;G174.1(+)"	G174
"G175;G175.1(-)"	G175
"G176;G176.1(+)"	G176
"G177;G177.1(-)"	G177
"G178;G178.1(+)"	G178
"G179;G179.1(+)"	G179
"G180;G180.1(-)"	G180
"G181;G181.1(-)"	G181
"G182;G182.1(-)"	G182
"G182;G182.2(-)"	G182
"G182;G182.3(-)"	G182
"G183;G183.1(-)"	G183
"G184;G184.1(+)"	G184
"G185;G185.1(-)"	G185
"G186;G186.1(-)"	G186
"G187;G187.1(-)"	G187
"G187;G187.2(-)"	G187
"G188;G188.1(-)"	G188
"G189;G189.1(+)"	G189
"G190;G190.1(+)"	G190
"G191;G191.1(-)"	G191
"G191;G191.2(-)"	G191
"G192;G192.1(-)"	G192
"G192;G192.2(-)"	G192
"G193;G193.1(+)"	G193
"G194;G194.1(-)"	G194
"G194;G194.2(-)"	G194
"G195;G195.1(-)"	G195
"G196;G196.1(-)"	G196
"G197;G197.1(+)"	G197
"G198;G198.1(+)"	G198
"G199;G199.1(-)"	G199
"G199;G199.2(-)"	G199
"G200;G200.1(-)"	G200
"G201;G201.1(+)"	G201
"G202;G202.1(-)"	G202
"G203;G203.1(-)"	G203
"G204;G204.1(-)"	G204
"G205;G205.1(+)"	G205
"G205;G205.2(+)"	G205
"G206;G206.1(-)"	G206
"G206;G206.2(-)"	G206
"G206;G206.3(-)"	G206
"G206;G206.4(-)"	G206
"G207;G207.1(-)"	G207
"G208;G208.1(-)"	G208
"G208;G208.2(-)"	G208
"G209;G209.1(+)"	G209
"G210;G210.1(-)"	G210
"G211;G211.1(-)"	G211
"G212;G212.1(-)"	G212
"G213;G213.1(+)"	G213
"G213;G213.2(+)"	G213
"G214;G214.1(-)"	G214
"G215;G215.1(+)"	G215
"G215;G215.2(+)"	G215
"G216;G216.1(+)"	G216
"G217;G217.1(-)"	G217
"G217;G217.2(-)"	G217
"G217;G217.3(-)"	G217
"G218;G218.1(-)"	G218
"G219;G219.1(-)"	G219
"G219;G219.2(-)"	G219
"G220;G220.1(-)"	G220
"G221;G221.1(+)"	G221
"G221;G221.2(+)"	G221
"G222;G222.1(-)"	G222
"G223;G223.1(+)"	G223
"G224;G224.1(-)"	G224
"G224;G224.2(-)"	G224
"G224;G224.3(-)"	G224
"G225;G225.1(-)"	G225
"G226;G226.1(+)"	G226
"G227;G227.1(-)"	G227
"G227;G227.2(-)"	G227
"G228;G228.1(+)"	G228
"G229;G229.1(-)"	G229
"G229;G229.2(-)"	G229
"G230;G230.1(+)"	G230
"G231;G231.1(+)"	G231
"G232;G232.1(-)"	G232
"G233;G233.1(-)"	G233
"G234;G234.1(+)"	G234
"G235;G235.1(-)"	G235
"G236;G236.1(+)"	G236
"G236;G236.2(+)"	G236
"G236;G236.3(+)"	G236
"G237;G237.1(+)"	G237
"G238;G238.1(-)"	G238
"G239;G239.1(+)"	G239
"G239;G239.2(+)"	G239
"G240;G240.1(+)"	G240
"G241;G241.1(-)"	G241
"G242;G242.1(+)"	G242
"G243;G243.1(-)"	G243
"G244;G244.1(-)"	G244
"G244;G244.2(-)"	G244
"G245;G245.1(-)"	G245
"G246;G246.1(+)"	G246
"G247;G247.1(+)"	G247
"G248;G248.1(-)"	G248
"G249;G249.1(+)"	G249
"G250;G250.1(-)"	G250
"G251;G251.1(+)"	G251
"G251;G251.2(+)"	G251
"G252;G252.1(-)"	G252
"G253;G253.1(+)"	G253
"G253;G253.2(+)"	G253
"G253;G253.3(+)"	G253
"G253;G253.4(+)"	G253
"G253;G253.5(+)"	G253
"G253;G253.6(+)"	G253
"G253;G253.7(+)"	G253
"G254;G254.1(+)"	G254
"G254;G254.2(+)"	G254
"G255;G255.1(+)"	G255
"G255;G255.2(+)"	G255
"G255;G255.3(+)"	G255
"G255;G255.4(+)"	G255
"G256;G256.1(+)"	G256
"G257;G257.1(-)"	G257
"G257;G257.2(-)"	G257
"G258;G258.1(-)"	G258
"G259;G259.1(-)"	G259
"G260;G260.1(+)"	G260
"G261;G261.1(-)"	G261
"G261;G261.2(-)"	G261
"G262;G262.1(-)"	G262
"G263;G263.1(-)"	G263
