rownames.upSet_df_N22.
"B227;B227.2"
"B228;B228.1"
"B229;B229.1"
"B229;B229.2"
"B230;B230.1"
"B231;B231.1"
"B232;B232.1"
"B233;B233.1"
"B234;B234.1"
"B235;B235.1"
"B236;B236.1"
"B236;B236.2"
"B236;B236.3"
"B237;B237.1"
"B238;B238.1"
"B239;B239.1"
"B239;B239.2"
"B240;B240.1"
"B241;B241.1"
"B242;B242.1"
"B243;B243.1"
"B244;B244.1"
"B244;B244.2"
"B245;B245.1"
"B246;B246.1"
"B247;B247.1"
"B248;B248.1"
"B249;B249.1"
"B250;B250.1"
"B251;B251.1"
"B251;B251.2"
"B252;B252.1"
"B253;B253.1"
"B11774;B11774.3"
"B253;B253.5"
"B253;B253.4"
"B11774;B11774.1"
"B253;B253.3"
"B929;B929.20"
"B929;B929.21"
"B929;B929.22"
"B253;B253.2"
"B11774;B11774.2"
"B929;B929.19"
"B253;B253.7"
"B12247;B12247.1"
"B253;B253.6"
"B12852;B12852.1"
"B11337;B11337.1"
"B11343;B11343.1"
"B936;B936.1"
"B11775;B11775.1"
"B254;B254.1"
"B929;B929.5"
"B11776;B11776.6"
"B11776;B11776.1"
"B929;B929.3"
"B929;B929.1"
"B929;B929.23"
"B929;B929.24"
"B929;B929.18"
"B929;B929.8"
"B929;B929.6"
"B929;B929.28"
"B929;B929.27"
"B929;B929.26"
"B11776;B11776.2"
"B929;B929.4"
"B929;B929.9"
"B929;B929.7"
"B254;B254.2"
"B929;B929.10"
"B929;B929.11"
"B929;B929.25"
"B11776;B11776.4"
"B11776;B11776.7"
"B12248;B12248.2"
"B12248;B12248.1"
"B12766;B12766.1"
"B6656;B6656.1"
"B929;B929.2"
"B11776;B11776.5"
"B11776;B11776.3"
"B11340;B11340.6"
"B11340;B11340.5"
"B11340;B11340.4"
"B11776;B11776.8"
"B929;B929.14"
"B929;B929.12"
"B929;B929.13"
"B11776;B11776.9"
"B929;B929.29"
"B11340;B11340.1"
"B929;B929.32"
"B255;B255.1"
"B11776;B11776.14"
"B11776;B11776.10"
"B11340;B11340.2"
"B11776;B11776.13"
"B255;B255.3"
"B6655;B6655.2"
"B929;B929.33"
"B255;B255.4"
"B11776;B11776.15"
"B255;B255.2"
"B929;B929.31"
"B929;B929.16"
"B11340;B11340.3"
"B11776;B11776.12"
"B929;B929.17"
"B929;B929.30"
"B11776;B11776.11"
"B929;B929.15"
"B256;B256.1"
"B930;B930.1"
"B11338;B11338.1"
"B257;B257.1"
"B257;B257.2"
"B258;B258.1"
"B259;B259.1"
"B260;B260.1"
"B261;B261.1"
"B261;B261.2"
"B262;B262.1"
"B263;B263.1"
"B264;B264.1"
"B265;B265.1"
"B1533;B1533.1"
"B266;B266.1"
"B267;B267.1"
"B268;B268.1"
"B269;B269.1"
"B270;B270.1"
"B270;B270.2"
"B271;B271.1"
"B271;B271.2"
"B271;B271.3"
"B272;B272.1"
"B273;B273.1"
